scenario_id,description,assigned_types,road_topology,area
CBLA_50_50kph,a collision in which a vehicle travels forwards towards a bicyclist cycling in the same direction in front of the vehicle where the vehicle would strike the cyclist when no braking action is applied or an evasive steering action is initiated after an FCW.,54 EmergencyObstacleAvoidance,,
CCFhol,a collision where a vehicle is travelling along a straight path within its defined lane and strikes another vehicle travelling in the opposite direction which has intentionally moved into the lane of the original vehicle to attempt an overtake. The frontal structure of the vehicle strikes the frontal structure of the other.,18 InvadingTurn,,
CCFtap_10kph_30kph,"a collision in which a vehicle turns across the path of an oncoming vehicle travelling at constant speed, and the frontal structure of the vehicle strikes the front structure of the other.",23 SignalizedJunctionLeftTurn; 25 NonSignalizedJunctionLeftTurn,,
CCRm_50kph,a collision in which a vehicle travels forwards towards another vehicle that is travelling at constant speed and the frontal structure of the vehicle strikes the rear structure of the other.,16 HardBrake,,
CMCscp_20kph_20kph_FS,"a collision in which a vehicle travels forwards along a straight path across a junction, towards a motorcyclist crossing the junction on a perpendicular path. The frontal structure of the vehicle under test strikes the front of the motorcycle.",58 PerpendicularCrossingConflict,4-way intersection,
CMRb_50kph,"a collision in which a vehicle travels forwards towards a motorcyclist that is travelling at constant speed and then decelerates, and the frontal structure of the vehicle strikes the rear of the motorcycle.",16 HardBrake,,
CPFA_50_50kph,a collision in which a vehicle travels forwards towards an adult pedestrian crossing its path running from the farside and the frontal structure of the vehicle strikes the pedestrian when no braking action is applied.,14 DynamicObjectCrossing,,
CPNA_25_50kph,a collision in which a vehicle travels forwards towards an adult pedestrian crossing its path walking from the nearside and the frontal structure of the vehicle strikes the pedestrian when no braking action is applied.,14 DynamicObjectCrossing,,
CPTA,"a collision in which a vehicle turns towards an adult pedestrian crossing its path, walking across a junction (in either the same and opposite direction as the VUT, before the VUT made the turn) and the frontal structure of the vehicle strikes the pedestrian when no braking action is applied.",20 VehicleTurningRoutePedestrian,4-way intersection,
MD_BlockedLaneObstacle1,"The ego vehicle travels straight along an urban, multi-lane street under clear weather conditions but is forced to wait before navigating through the upcoming 4-way intersection. As the ego vehicle approaches, two adversary vehicles are stopped directly in front of it within the ego's driving lane, while two other adversary vehicles on the right side of the ego drive straight ahead.",22 BlockedIntersection,4-way intersection,urban
MD_BlockedLaneObstacle2,"The ego vehicle travels straight through an urban, multi-lane 4-way intersection under clear weather conditions behind a front vehicle. As the ego vehicle proceeds, the front vehicle that is initially driving suddenly brakes and stops moving in the lane ahead, while at the same time there are two vehicles driving straight on the right lane.",16 HardBrake,4-way intersection,urban
MD_Highway_On-Ramp_Merge2,"The ego vehicle travels along an on-ramp to merge into a multi-lane highway under dark weather conditions. As the ego vehicle approaches the merge point, it slows down to yield the right-of-way to two adversary vehicles traveling with their headlights and taillights visible in the main highway lane, allowing them to pass first before the ego vehicle safely completes its merge into the lane.",32 MergerIntoSlowTrafficV2,on-ramp,highway
MD_Highway_On-Ramp_Merge6,"The ego vehicle travels along an on-ramp and merges left into a multi-lane highway under clear weather conditions. As the ego vehicle merges, a front vehicle ahead of it on the ramp also merges into the main highway lane, while an adversary vehicle already on the highway travels at the back of the target lane behind them.",32 MergerIntoSlowTrafficV2,on-ramp,highway
MD_Interdriver12,"The ego vehicle travels along a narrow, one-way connecting road intending to merge onto a larger main road under clear weather conditions. As it approaches the intersection, the ego vehicle yields the right-of-way to two adversary vehicles already traveling along the main road in the target lane where the ego plans to merge, waiting for them to pass before safely completing its maneuver.",44 TJunction; 26 NonSignalizedJunctionLeftTurnEnterFlow,4-way intersection,
MD_Interdriver14,"The ego vehicle travels straight through a rural 4-way intersection under clear weather conditions. As the ego vehicle enters and proceeds across the junction, two adversary vehicles initially approaching from the right arm execute right turns.",52 JunctionEntryCutIn,4-way intersection,rural
MD_Interdriver34,"The ego vehicle approaches an urban, multi-lane 4-way intersection under clear weather conditions and executes a left turn. As the ego vehicle enters the junction, it must coordinate its maneuver with two oncoming adversary vehicles from the opposing arm that are simultaneously making right turns into the exact same target road where the ego plans to turn.",23 SignalizedJunctionLeftTurn; 24 SignalizedJunctionLeftTurnEnterFlow,4-way intersection,urban
MD_Interdriver36,"The ego vehicle initially travels in the left lane of an urban street under clear weather conditions and initiates a lane change toward the right to prepare for a right turn at an upcoming 4-way intersection. Before the ego can fully complete the lane change, it must manage its spacing and yield as three adversary vehicles are already driving straight ahead within that target right lane.",43 LaneChange,4-way intersection,urban
MD_Intersection_Deadlock_Resolution2,"The ego vehicle travels straight through an urban, multi-lane 4-way intersection under dark weather conditions while following a front vehicle that also passes straight ahead. As they navigate the junction, a complex mix of traffic occurs around them: an adversary vehicle on the left arm executes a left turn, while two vehicles on the right arm make maneuvers—one turning left and the other turning right.",37 OppositeVehicleRunningRedLight; 38 OppositeVehicleTakingPriority,4-way intersection,urban
MD_Intersection_Deadlock_Resolution6,"The ego vehicle travels straight through an urban, multi-lane 4-way intersection under clear weather conditions. As it navigates the junction, it interacts with multiple adversary vehicles: an oncoming vehicle from the opposing arm executes a right turn, while on the left arm, one vehicle performs a left turn and another vehicle passes straight across the intersection.",37 OppositeVehicleRunningRedLight; 38 OppositeVehicleTakingPriority,4-way intersection,urban
MD_Major_Minor_Unsignalized_Entry1,"The ego vehicle travels straight through an urban T-junction under dark weather conditions while an adversary vehicle follows directly behind it in the same lane. As the ego vehicle proceeds through the junction, an adversary vehicle emerging from the right arm executes a left turn onto the main road.",44 TJunction; 58 PerpendicularCrossingConflict,T-junction,urban
MD_Major_Minor_Unsignalized_Entry2,"The ego vehicle executes a left turn at an urban T-junction under dark weather conditions. As the ego vehicle enters the intersection, it must navigate a complex traffic flow involving several adversary vehicles: an adversary vehicle from the left arm proceeds straight across, while from the right arm, two vehicles pass straight through and another vehicle executes a left turn.",25 NonSignalizedJunctionLeftTurn; 44 TJunction,T-junction,urban
MD_Major_Minor_Unsignalized_Entry5,"The ego vehicle passes straight through an urban T-junction under clear weather conditions. Prior to entering the junction, a pedestrian on the left side of the road crosses the street ahead of the ego vehicle. As the ego vehicle reaches the intersection, an adversary vehicle on the left arm executes a left turn into the main road.",44 TJunction; 14 DynamicObjectCrossing,T-junction,urban
MD_Pedestrian_Crosswalk10,"The ego vehicle travels straight through an urban, multi-lane 4-way intersection under misty weather conditions. As the ego vehicle approaches, several adversary vehicles cross its path, including a white car and a dark car crossing from right to left, as well as an oncoming dark vehicle proceeding straight ahead in the opposite direction. Additionally, a pedestrian can be seen near the crosswalk corner on the bottom-right sidewalk, remaining clear of the road as the active vehicles pass through.",58 PerpendicularCrossingConflict,4-way intersection,urban
MD_Pedestrian_Crosswalk5,"The ego vehicle travels straight into an urban, multi-lane 4-way intersection under dark weather conditions. As the ego vehicle proceeds, it suddenly brakes to yield to a pedestrian crossing the intersection from left to right, while an adversary vehicle approaching from the left arm also enters the intersection.",19 PedestrianCrossing,4-way intersection,urban
MD_Roundabout_Navigation2,"The ego vehicle travels straight and enters an urban, multi-lane roundabout junction under clear weather conditions. As the ego vehicle approaches and enters the roundabout, an adversary vehicle on its left side enters the roundabout at the same time, while another adversary vehicle is already navigating ahead within the circular junction.",49 RoundaboutNavigation,roundabout,urban
MD_Roundabout_Navigation4,"The ego vehicle enters an urban, multi-lane roundabout junction to turn right under dark weather conditions while following a front vehicle. As they proceed, the front vehicle suddenly stops in the roundabout to yield to three other adversary vehicles that are entering the junction from the upper-right lanes. Because of this sudden yield, the ego vehicle is also forced to stop directly behind the front vehicle to avoid a collision.",16 HardBrake,roundabout,urban
MD_Roundabout_Navigation7,"The ego vehicle travels straight and enters an urban, multi-lane roundabout junction under dark weather conditions. As the ego vehicle approaches and enters the roundabout, an adversary vehicle on the left side enters the roundabout at the same time, while another adversary vehicle is already navigating ahead within the roundabout.",49 RoundaboutNavigation,roundabout,urban
MD_Unprotected_Left_Turn4,"The ego vehicle turns left through an urban, multi-lane 4-way intersection under foggy weather conditions. During this maneuver, two oncoming adversary vehicles from the opposite arm proceed straight ahead through the junction, while a third adversary vehicle approaching from the left arm also passes straight across the intersection.",23 SignalizedJunctionLeftTurn; 25 NonSignalizedJunctionLeftTurn,4-way intersection,urban
MD_Unprotected_Left_Turn8,"The ego vehicle approaches and turns left through an urban, multi-lane 4-way intersection under clear weather conditions. As the ego vehicle enters the intersection, it yields to an oncoming adversary vehicle passing straight ahead from the opposite direction, as well as three adversary vehicles on the right arm passing straight through the junction. Additionally, a pedestrian is navigating through the intersection, crossing from the ego's right side toward the left as the active vehicles clear the area.",23 SignalizedJunctionLeftTurn; 25 NonSignalizedJunctionLeftTurn,4-way intersection,urban
MD_Unprotected_Left_Turn9,"The ego vehicle travels through an urban, multi-lane 4-way intersection under dark weather conditions while following a front vehicle that also intends to turn left. As they navigate the junction, the front vehicle brakes to yield the right-of-way to oncoming adversary vehicles passing straight from the opposing arm, forcing the ego vehicle to brake as well to avoid a collision.",25 NonSignalizedJunctionLeftTurn; 16 HardBrake,4-way intersection,urban
in_lane_cut_in_rear_end,"The ego vehicle is following a lane
and another object is doing a cut-in
that results in a rear-end conflict.",4 StaticCutIn; 35 HighwayCutIn,,
lateral_adv_avoidmerge,The ego vehicle is driving straight under overcast daylight conditions on a multi-lane city street. The vehicle is involved in a sudden side-impact collision when a white SUV driving at high speed swerves sharply into the ego vehicle's lane to avoid another vehicle merging from its right side.,53 HazardAvoidanceCutIn,,
lateral_adv_cutin_navigateobstacle,"The ego vehicle is driving straight on a multi-lane city road on a bright, sunny day. The vehicle is involved in a sudden side-impact collision when a black sedan on the right cuts sharply into the ego vehicle's lane to drive around a stationary vehicle blocking its path.",53 HazardAvoidanceCutIn,,
lateral_bus_force_merging,"At night on a multi-lane highway, a coach bus overtakes the ego vehicle with minimal side clearance, creating a close-call situation before merging back into traffic ahead without a collision.",35 HighwayCutIn; 51 HeavyVehicle,,highway
lateral_cut_in_twowheeler_highway,"The ego vehicle is driving forward under wet weather conditions on an elevated highway or bridge. The ego vehicle is forced under an emergency braking scenario due to a motorcyclist losing control directly ahead, resulting in a rear-end collision with the fallen two-wheeled vehicle.",54 EmergencyObstacleAvoidance,,highway
lateral_ego_lc_sudden_stop,"The ego vehicle is driving forward on a multi-lane city road on a clear day. The vehicle is involved in a sudden rear-end collision when it attempts to change lanes to the left, but traffic in that left lane slows down abruptly before the maneuver can be completed.",43 LaneChange,,
lateral_front_brake_drift_obstacle,"The ego vehicle is driving forward under nighttime, low-visibility conditions on a city street. The ego vehicle is forced under an emergency swerving scenario to avoid a braking passenger car, changing lanes to the right but ultimately hitting an illegally placed hazard obstacle sitting directly in the roadway.",11 HazardAtSideLane; 16 HardBrake,,
lateral_left_turn_cut_in_intersection,"The ego vehicle is driving forward through a wide urban intersection under clear daylight conditions. The ego vehicle is forced under a sudden emergency braking scenario due to a passenger car abruptly changing lanes into the ego's path to navigate through a hazard, resulting in a side-swipe collision.",53 HazardAvoidanceCutIn,4-way intersection,urban
lateral_overtake_adv_slower_traffic,"The ego vehicle is traveling on a two-lane rural highway with an uphill curve on a clear day. The vehicle is involved in a near-miss or scraping side-swipe collision when it attempts to overtake a slower lead vehicle, which unexpectedly initiates its own overtaking maneuver to pass the even slower traffic ahead at the exact same time.",55 OvertakingIntoOncomingLane,curved road,rural; highway
lateral_truck_overtake,"The ego vehicle is driving forward on a two-lane mountain road on an overcast day. The vehicle is involved in a dangerous side-impact collision when a large red cargo truck attempts to overtake it from behind, squeezing into the ego vehicle's lane to avoid an oncoming motorcycle.",53 HazardAvoidanceCutIn; 51 HeavyVehicle,,
lc_disc,"The ego vehicle is changing lane. The lane change does not need to be performed but it optimizes speed, comfort etc.",43 LaneChange,,
moving_adv_drifts_into_ego,"The ego vehicle is driving forward under overcast daylight conditions on a two-lane road approaching a crosswalk. The vehicle is involved in a sudden emergency braking scenario when the slow-moving lead sedan ahead stops abruptly, and as the ego vehicle swerves right to avoid a direct rear-end collision, the lead sedan simultaneously drifts right, resulting in a minor impact.",16 HardBrake,,
moving_deceleration_navigationnotpossible,"The ego vehicle is driving forward under clear daylight conditions on a multi-lane highway. The ego vehicle is forced under a sudden emergency braking scenario due to the vehicle directly ahead locking its brakes to avoid a congested lane bottleneck, resulting in a rear-end collision.",16 HardBrake,,highway
moving_egonavigatefailed,"The ego vehicle is driving forward under clear daylight conditions on a multi-lane highway or viaduct. The ego vehicle is forced under a sudden emergency braking scenario when it attempts to change lanes to the right to navigate through standstill traffic, but the front vehicle in that target lane suddenly anchors its brakes, resulting in a rear-end collision.",43 LaneChange; 16 HardBrake,,highway
moving_rain_sudden_cut_out,"The ego vehicle is driving forward under rainy, wet-road conditions on a divided highway. The ego vehicle is forced under a sudden emergency braking and swerving scenario when the vehicle directly ahead slows down abruptly and changes lanes to the right to avoid a collision, causing the ego vehicle to veer right and collide with a passenger car overtaking from behind, resulting in a side-swipe collision.",16 HardBrake,,highway
oncoming_adv_overtake,"The ego vehicle is driving forward under overcast daylight conditions on a winding, two-lane mountain road. The ego vehicle is forced under a sudden emergency braking scenario when an oncoming passenger car crosses the center line to overtake a large truck, directly invading the ego vehicle's lane and causing a head-on or side-swipe collision.",18 InvadingTurn,curved road,
oncoming_curved_adv,"The ego vehicle is navigating a curved, rural road on an overcast day. The vehicle is involved in a sudden head-on collision when a white passenger microvan rounding a blind corner drifts entirely into the oncoming lane, completely cutting off the ego vehicle's path.",18 InvadingTurn,curved road,rural
pedestrian_cyclist_merges_into_ego,"The ego vehicle is driving forward under clear daylight conditions through a rural road. The ego vehicle is forced under a sudden emergency braking and swerving scenario when a bicyclist riding along the right shoulder abruptly cuts left across the road without checking for traffic, resulting in a side or t-bone collision.",14 DynamicObjectCrossing,,rural
turning_adv_right,The ego vehicle is driving straight through a wide road intersection under overcast daylight conditions. The vehicle is involved in a sudden rear-end collision when a passenger car turns right at the intersection directly into the ego vehicle's path and then unexpectedly decelerates.,27 SignalizedJunctionRightTurn; 28 NonSignalizedJunctionRightTurn; 16 HardBrake,4-way intersection,
turning_lane_change_2,The ego vehicle is traveling through a busy urban intersection on a clear day. The vehicle is involved in a sudden side-impact collision when a white passenger car aggressively cuts across two lanes of heavy traffic right into the ego vehicle's path.,4 StaticCutIn,4-way intersection,urban
